Alter,Einkommen,Geschlecht,Zeit,KundeNr,Preis,Niederlassung,Ausreißer
30,39919.0953348874,0.0,29.0,K1814,,Bayern,False
41,53430.67308587748,0.0,27.0,K1544,,Baden-Württemberg,False
64,73163.2169267002,0.0,32.0,K1945,,Baden-Württemberg,False
41,36761.482581315344,0.0,44.0,K1825,,Baden-Württemberg,False
35,42684.33163178136,1.0,33.0,K1144,,Nordrhein-Westfalen,False
67,63881.03417512037,1.0,27.0,K1395,,Berlin,False
46,68885.01956818235,0.0,59.0,K1405,,Nordrhein-Westfalen,False
63,63083.28870522346,0.0,40.0,K1438,,Niedersachsen,False
30,55256.4530467888,1.0,31.0,K1313,,Baden-Württemberg,False
32,44873.24457091626,0.0,44.0,K1241,,Sachsen,False
66,75200.53464199259,0.0,35.0,K1242,,Berlin,False
61,59560.06177988721,0.0,37.0,K1801,,Nordrhein-Westfalen,False
66,90643.13302647206,1.0,25.0,K1590,,Baden-Württemberg,False
68,80553.39340496145,0.0,56.0,K1349,,Baden-Württemberg,False
39,42543.25204627491,1.0,30.0,K1449,,Hessen,False
40,33126.11045648739,0.0,34.0,K1958,,Baden-Württemberg,False
44,62175.95917026976,1.0,33.0,K1726,,Berlin,False
49,51900.08248154316,0.0,40.0,K1758,,Bayern,False
48,59967.31328247114,1.0,21.0,K1991,,Hessen,False
36,33884.96632098324,0.0,49.0,K1215,,Bayern,False
66,67587.20954156849,1.0,37.0,K1399,,Nordrhein-Westfalen,False
31,38844.33511086199,1.0,21.0,K1552,,Berlin,False
61,66782.63479749944,0.0,25.0,K1297,,Nordrhein-Westfalen,False
40,54891.4467910973,0.0,46.0,K1787,,Baden-Württemberg,False
49,59388.51974583303,0.0,21.0,K1643,,Baden-Württemberg,False
62,92892.64417436426,0.0,14.0,K1924,,Nordrhein-Westfalen,False
36,36252.28123171101,1.0,46.0,K1135,,Hamburg,False
45,54233.58902280894,1.0,37.0,K1778,,Niedersachsen,False
64,84876.30328321343,0.0,34.0,K1168,,Baden-Württemberg,False
50,60708.22607800983,0.0,44.0,K1501,,Hessen,False
45,54500.5391380709,0.0,30.0,K1982,,Hamburg,False
31,34101.76397312862,1.0,46.0,K1246,,Bayern,False
50,55260.84751553851,0.0,46.0,K1898,,Brandenburg,False
52,71014.31038644777,1.0,21.0,K1340,,Bayern,False
34,53036.01128400799,0.0,46.0,K1309,,Bayern,False
67,79728.1351072828,1.0,22.0,K1725,,Thüringen,False
31,26637.981443696044,1.0,30.0,K1128,,Niedersachsen,False
38,48808.07114016616,1.0,54.0,K1303,,Baden-Württemberg,False
46,61964.35164914425,0.0,57.0,K1947,,Bayern,False
31,27594.39325353453,0.0,49.0,K1844,,Bayern,False
68,83333.56782765305,1.0,33.0,K1225,,Bayern,False
48,54207.38981037917,0.0,45.0,K1582,,Nordrhein-Westfalen,False
40,65585.39007498826,0.0,43.0,K1942,,Bayern,False
37,39421.70983093856,1.0,38.0,K1895,,Berlin,False
69,108569.08702065004,1.0,47.0,K1467,,Nordrhein-Westfalen,False
69,91624.99730636716,1.0,21.0,K1191,,Niedersachsen,False
43,67392.46312717693,0.0,45.0,K1172,,Nordrhein-Westfalen,False
52,68557.64272708262,0.0,27.0,K1455,,Sachsen,False
37,51083.82595578743,0.0,41.0,K1315,,Baden-Württemberg,False
51,52205.09243795647,0.0,42.0,K1764,,Baden-Württemberg,False
68,96580.0635011618,0.0,30.0,K1553,,Nordrhein-Westfalen,False
63,80825.88321852202,1.0,50.0,K1925,,Berlin,False
63,56999.12653841968,1.0,50.0,K1465,,Berlin,False
